id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
3S7A85bAWOd6ltk6r2ANOI,YouAreMyHigh,80.0,180480,,1,track,2021-07-28,YouAreMyHigh,1,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0221,0.503,0.783,0.00223,,0.14,-4.761,,0.0385,125.122,4,0.213
6IPNp9PfaEqrzotY47TIWy,SGwithOzunaMeganTheeStallionLISAofBLACKPINK,85.0,225600,True,1,track,2021-10-22,SGwithOzunaMeganTheeStallionLISAofBLACKPINK,1,540vIaP2JwjQb9dm3aArA4,DJSnake,0.00406,0.8,0.837,0.00313,6.0,0.0904,-2.807,,0.0491,100.015,4,0.702
282R6Lvm9nLtpx8AzUwJe0,RunItfeatRickRossRichBrian,71.0,163389,,1,track,2021-08-13,RunItfeatRickRossRichBrian,1,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0206,0.688,0.725,9.18e-06,2.0,0.0859,-7.831,1.0,0.0456,104.018,4,0.224
2Ickl9ADUjQLoF2sBVrIHI,YouAreMyHigh,,180480,,7,track,2021-11-12,Friendsgiving,15,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0221,0.503,0.783,0.00223,,0.14,-4.761,,0.0385,125.122,4,0.213
7wwZJp16o8AcDnS8sDnMlX,LetMeLoveYou,,205946,,15,track,2021-11-12,FunPopSongsForKids,34,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0863,0.475,0.715,2.67e-05,8.0,0.135,-5.371,1.0,0.058,199.892,4,0.159
79RDFWfl6qela13Rgkpfyt,Middle,,220746,,21,track,2021-11-11,SoftDance,24,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0171,0.585,0.73,,1.0,0.0488,-4.038,,0.0406,104.824,4,0.222
0guKJ3Onzqd8cOYoc9JAEj,Middle,,220746,,42,track,2021-11-12,BestCleanHits,67,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0171,0.585,0.73,,1.0,0.0488,-4.038,,0.0406,104.824,4,0.222
52YMRy0gSN7OXRWCHj2tNU,Middle,,220746,,12,track,2021-11-12,LoversareOVERparty,19,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0171,0.585,0.73,,1.0,0.0488,-4.038,,0.0406,104.824,4,0.222
5bFuHlXKw66Uu2cHKn5bf8,Alive,66.0,197388,,1,track,2021-06-30,Alive,1,67qogtRNI0GjUr8PlaG6Zh,ZedsDead,0.0087,0.618,0.758,0.102,8.0,0.147,-7.996,1.0,0.0336,120.987,4,0.144
3evAUkYDPeLX5kn0LbvGz4,Hypnocurrency,66.0,292524,,1,track,2021-04-23,Hypnocurrency,1,4aKdmOXdUKX07HVd3sGgzw,Rezz,0.0319,0.528,0.732,0.868,2.0,0.109,-9.492,1.0,0.0504,199.978,4,0.0324
5YvYKEQEYJp4orh4z3Dnpk,Sacrificial,64.0,182000,,1,track,2021-02-05,Sacrificial,1,4aKdmOXdUKX07HVd3sGgzw,Rezz,0.0686,0.552,0.564,0.0131,7.0,0.34,-5.941,1.0,0.0415,164.952,4,0.321
5NQKpa6uCqZcaFkAbUK4XB,OceansGalaxies,64.0,200547,,1,track,2021-04-16,OceansGalaxies,1,5ttgIeUVka6FLyi00Uu5h8,Jauz,0.12,0.532,0.625,3.35e-05,1.0,0.103,-7.472,,0.0506,145.857,4,0.297
0mjGSve5fXuesAutgeN9OI,WhenTheSummerDies,64.0,329531,True,1,track,2021-07-16,WhenTheSummerDies,1,2CIMQHirSU0MQqyYHq0eOx,deadmau5,0.000472,0.795,0.642,0.0522,1.0,0.226,-7.094,1.0,0.0516,127.986,4,0.446
5kn2FMZoBVClbA9CV7w3k5,ChemicalBond,63.0,142702,,1,track,2021-09-03,ChemicalBond,1,4aKdmOXdUKX07HVd3sGgzw,Rezz,0.000241,0.635,0.93,0.775,2.0,0.0918,-2.061,1.0,0.0583,73.981,4,0.0688
655sojH8GGEteZTBJOFyy7,TasteofYou,62.0,167606,,1,track,2021-05-21,TasteofYou,1,4aKdmOXdUKX07HVd3sGgzw,Rezz,0.0064,0.667,0.679,5.28e-05,,0.17,-6.616,1.0,0.0475,100.054,4,0.32
4Juaa2ppIOYcSWbrVtcrNp,RealLove,67.0,135265,,2,track,2021-10-05,HappyMachine,8,5R3Hr2cnCCjt220Jmt2xLf,DillonFrancis,0.0496,0.549,0.793,7.7e-05,10.0,0.0522,-4.313,,0.104,123.893,4,0.541
4Vd53EHIw4lEfe7rqHSctN,HyperlandiaVocalMix,63.0,349591,,1,track,2021-10-29,Hyperlandia,2,2CIMQHirSU0MQqyYHq0eOx,deadmau5,0.0267,0.574,0.957,0.242,2.0,0.298,-5.749,1.0,0.063,195.992,4,0.162
1tiYiTDSrtOTVVg0cym5S1,FlashbacksSlowed,68.0,402952,,1,track,2021-06-09,FlashbacksSlowed,1,70uBplYS9d9GUfEKVusJw6,CRASPORE,0.000779,0.728,0.794,0.822,11.0,0.12,-5.852,,0.0257,112.017,4,0.0911
2lxoIZS8tpFwbiJyrDYguI,MissYou,59.0,200000,,1,track,2021-09-03,MissYou,1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER,0.0883,0.392,0.472,1.42e-06,1.0,0.0954,-7.225,,0.0481,74.473,4,0.0526
3MOhipHFUkGpS0rV7cKrJO,Rosewood,66.0,242773,,1,track,2021-10-06,Rosewood,1,0cmWgDlu9CwTgxPhf403hb,Bonobo,0.0668,0.757,0.637,0.485,10.0,0.191,-9.451,,0.0432,121.009,4,0.429
5YrzUzJvEV2nsZ9d2q9s8G,LetMeIn,61.0,208192,,1,track,2021-10-01,LetMeIn,1,4aKdmOXdUKX07HVd3sGgzw,Rezz,0.00934,0.545,0.587,0.292,1.0,0.146,-9.885,,0.0486,165.988,4,0.165
5x4vgABKiGp4Vg7ZyFRxhn,RunItfeatRickRossRichBrian,62.0,163373,,14,track,2021-09-03,ShangChiandTheLegendofTheTenRingsTheAlbum,18,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0195,0.688,0.725,7.63e-06,2.0,0.0726,-7.806,1.0,0.044,104.006,4,0.225
3XoflnowYPFRPOh3uFvHcm,SelfishLovewithSelenaGomez,70.0,168648,,1,track,2021-03-04,SelfishLovewithSelenaGomez,1,540vIaP2JwjQb9dm3aArA4,DJSnake,0.0206,0.723,0.646,0.352,5.0,0.0994,-7.973,,0.102,110.971,4,0.443
3zbbRebB1rzlXJgq7Ufn8V,WorstCase,62.0,178048,,1,track,2021-10-08,WorstCase,1,4YLQaW1UU3mrVetC8gNkg5,3LAU,0.00463,0.629,0.809,0.0347,6.0,0.205,-5.775,,0.0339,122.975,4,0.177
356bcy3BLWuyUwOi56pb87,LoveIsGoneR3HABRemix,61.0,150545,,1,track,2021-08-27,LoveIsGoneR3HABRemix,1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER,0.0644,0.657,0.67,,6.0,0.432,-8.179,1.0,0.0803,109.966,4,0.299
45CwQAnBujkKzbDKX5wJmv,ColorblindfeatDayseeker,58.0,199285,,1,track,2021-08-13,ColorblindfeatDayseeker,1,5CdJjUi9f0cVgo9nFuJrFa,AdventureClub,0.169,0.492,0.57,,5.0,0.271,-5.123,1.0,0.032,140.037,4,0.266
07ImPoPqKNwqucuPEZooBj,AnywherefeatshYbeastPLYA,59.0,287600,,1,track,2021-02-05,AnywherefeatshYbeastPLYA,1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER,0.00672,0.383,0.843,,1.0,0.176,-6.438,1.0,0.0656,149.978,4,0.314
7rRYiBxeudiHMNmgptnne9,Tides,63.0,226146,,1,track,2021-10-20,Tides,2,0cmWgDlu9CwTgxPhf403hb,Bonobo,0.791,0.6,0.314,0.419,4.0,0.0681,-9.109,,0.0351,126.948,4,0.201
6SbtcZqGyS68wKp0YGyHgl,HyperlandiaRadioEdit,59.0,212142,,2,track,2021-10-29,Hyperlandia,2,2CIMQHirSU0MQqyYHq0eOx,deadmau5,0.00865,0.666,0.903,0.135,2.0,0.276,-5.574,1.0,0.064,98.007,4,0.194
6tkHWTety7Wd4Fv4oyGAcz,ithinkyourecool,56.0,213623,,7,track,2021-03-26,CatchingZs,13,67qogtRNI0GjUr8PlaG6Zh,ZedsDead,0.201,0.618,0.662,0.0418,7.0,0.113,-7.724,1.0,0.056,92.032,4,0.254
12yj178KaJo8PrddT0StaL,WhatsUp,68.0,147540,,1,track,2021-02-12,WhatsUp,1,1aQwKFn00nswXRDUDipm0K,Gaullin,0.00155,0.739,0.845,0.0107,5.0,0.775,-5.93,,0.0397,121.997,4,0.839
5qCpcgqwL1Hum85sAQz3W7,Gravity,57.0,364800,,1,track,2021-08-13,Gravity,1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER,0.153,0.631,0.862,0.00109,2.0,0.107,-3.642,,0.0999,149.939,4,0.39
7oJPmo2YL566okOf1RQcCp,luvdrunk,60.0,181000,,1,track,2021-01-08,luvdrunk,1,1BAdSa5cdtCNLbvT7gWmtJ,Conro,0.0434,0.807,0.836,0.396,,0.113,-4.359,,0.0359,120.057,4,0.962
5T4iqvsqEdJS4WFMmo0CZX,Salvation,55.0,249863,,1,track,2021-06-18,Salvation,1,5FKchcZpQOkqFvXBj1aCvb,Excision,0.0931,0.377,0.863,1.17e-06,6.0,0.111,-2.562,1.0,0.0501,146.03,4,0.279
0Q8I9WVpuNEFPiF83ZpcvU,HappyHour,59.0,168000,,1,track,2021-02-05,HappyHour,1,6roDXEmZ6AARdOUv6x5U2v,FelixCartal,0.00324,0.625,0.855,,5.0,0.742,-3.184,,0.0401,120.004,4,0.303
7K5tOFxje8nlunmexOmWgo,SGwithOzunaMeganTheeStallionLISAofBLACKPINK,71.0,225600,,1,track,2021-10-22,SGwithOzunaMeganTheeStallionLISAofBLACKPINK,1,540vIaP2JwjQb9dm3aArA4,DJSnake,0.00421,0.796,0.836,0.0068,6.0,0.101,-2.827,,0.0473,100.033,4,0.68
5LuQvkBG365ue36BMujtSz,Starbright,57.0,243027,,5,track,2021-10-15,BetweenBroken,13,7lZauDnRoAC3kmaYae2opv,Dabin,0.025,0.458,0.67,3.78e-06,10.0,0.358,-4.993,1.0,0.0397,160.05,4,0.107
4NczzeHBQPPDO0B9AAmB8d,Assumptions,57.0,220838,,4,track,2021-05-13,IV,4,07UJz804RJxqNvxFXC3h9H,SamGellaitry,0.123,0.639,0.815,0.00113,11.0,0.193,-4.718,1.0,0.221,126.055,4,0.443
1KzGwlHu27TUfH3gF1RFAa,ReaperfeatJID,58.0,164800,True,1,track,2021-05-07,ReaperfeatJID,3,4m1yRHUMhvB8gKAJTjK4kO,BoomboxCartel,0.0113,0.601,0.815,,1.0,0.0933,-3.741,1.0,0.328,149.973,4,0.265
1AAYbsAIgEJMbxgLgpjE9y,SinceILeftYou,59.0,262840,,1,track,2021-06-04,SinceILeftYou20thAnniversaryDeluxeEdition,33,3C8RpaI3Go0yFF9whvKoED,TheAvalanches,0.226,0.518,0.912,,7.0,0.726,-7.275,1.0,0.0573,102.778,4,0.504
5zHRrkIk98Adfqh25kMZFU,LoveMeBetterwithShiftK3YMarcEBassy,61.0,150771,,1,track,2021-06-25,LoveMeBetter,1,5R3Hr2cnCCjt220Jmt2xLf,DillonFrancis,0.0253,0.755,0.716,0.00149,6.0,0.131,-5.089,1.0,0.0376,124.018,4,0.441
2WidoejAximc21Pv69Q3ey,ShellShockfeatGeorgiaKu,56.0,264500,,1,track,2021-10-29,ShellShockfeatGeorgiaKu,1,76M2Ekj8bG8W7X2nbx2CpF,NGHTMRE,0.00433,0.512,0.948,0.00173,6.0,0.141,-1.849,,0.23,149.986,4,0.134
4Dku5HwdwweHyc9LrOL4AB,BangBangBangBangRemastered2021,61.0,168339,,1,track,2021-02-19,BangBangBangBang2021,2,1KNXft7nnRQj82sENi7WGN,Sohodolls,0.207,0.719,0.566,3.71e-06,1.0,0.105,-5.951,1.0,0.0354,93.984,4,0.408
0aEIw4siCqZ8hlDrvtlRep,FlyWithUs,58.0,248437,,1,track,2021-09-17,FlyWithUs,1,6EqFMCnVGBRNmwPlk2f3Uc,ACSlater,0.031,0.865,0.913,0.184,1.0,0.0901,-3.094,1.0,0.0724,128.012,4,0.699
0Uhbn8GeomTRkkVAapjM4Z,BirdzwithSmokepurpp,58.0,162375,True,1,track,2021-01-21,BirdzwithSmokepurpp,1,6Se1y4vDcu9fVHLqdj1N3q,Wuki,0.00171,0.709,0.7,0.0155,1.0,0.711,-4.834,1.0,0.0746,145.04,4,0.397
6jRwkbiqOfkNGty2fGTXzd,ColdLight,63.0,179060,,1,track,2021-02-19,ColdLight,2,0bUZrFj7rstq07E4iAJHgZ,KCLights,0.0305,0.694,0.824,0.00123,8.0,0.19,-5.933,1.0,0.0454,125.018,4,0.291
0KbMjhlUH1xUGDgeIQzLsn,Duo,54.0,126700,,1,track,2021-04-15,Duo,1,07UJz804RJxqNvxFXC3h9H,SamGellaitry,0.0547,0.805,0.7,,10.0,0.04,-3.064,,0.155,127.034,4,0.832
3Co9QY7WBNKoS44Nsk93r6,DOMINATION,56.0,168800,True,1,track,2021-04-16,DOMINATION,1,72iCiKwu6nu6Qq9emIwzYv,Kayzo,0.000138,0.506,0.993,0.843,1.0,0.446,-1.343,1.0,0.207,149.987,4,0.47
5pUO56AVaHEO685BLIBsVt,Unbound,53.0,227167,,1,track,2021-01-25,Unbound,2,5FKchcZpQOkqFvXBj1aCvb,Excision,0.00223,0.429,0.943,0.00116,1.0,0.123,-1.323,1.0,0.0669,149.884,4,0.154
4JlbNN3jRVy0agVxF2K5DA,DoItAnywaywithIconaPop,65.0,158916,True,3,track,2021-10-22,SLEEP,15,5X4LWwbUFNzPkEas04uU82,DVBBS,0.00419,0.631,0.926,,6.0,0.579,-3.236,,0.0647,122.083,4,0.607
