id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
3S7A85bAWOd6ltk6r2ANOI,You Are My High,80,180480,false,1,track,2021-07-28,You Are My High,1,540vIaP2JwjQb9dm3aArA4,DJ Snake
6IPNp9PfaEqrzotY47TIWy,SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK),85,225600,true,1,track,2021-10-22,SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK),1,540vIaP2JwjQb9dm3aArA4,DJ Snake
282R6Lvm9nLtpx8AzUwJe0,Run It (feat. Rick Ross & Rich Brian),72,163389,false,1,track,2021-08-13,Run It (feat. Rick Ross & Rich Brian),1,540vIaP2JwjQb9dm3aArA4,DJ Snake
5bFuHlXKw66Uu2cHKn5bf8,Alive,66,197388,false,1,track,2021-06-30,Alive,1,67qogtRNI0GjUr8PlaG6Zh,Zeds Dead
3evAUkYDPeLX5kn0LbvGz4,Hypnocurrency,66,292524,false,1,track,2021-04-23,Hypnocurrency,1,4aKdmOXdUKX07HVd3sGgzw,Rezz
5YvYKEQEYJp4orh4z3Dnpk,Sacrificial,64,182000,false,1,track,2021-02-05,Sacrificial,1,4aKdmOXdUKX07HVd3sGgzw,Rezz
5NQKpa6uCqZcaFkAbUK4XB,Oceans & Galaxies,64,200547,false,1,track,2021-04-16,Oceans & Galaxies,1,5ttgIeUVka6FLyi00Uu5h8,Jauz
0mjGSve5fXuesAutgeN9OI,When The Summer Dies,64,329531,true,1,track,2021-07-16,When The Summer Dies,1,2CIMQHirSU0MQqyYHq0eOx,deadmau5
5kn2FMZoBVClbA9CV7w3k5,Chemical Bond,63,142702,false,1,track,2021-09-03,Chemical Bond,1,4aKdmOXdUKX07HVd3sGgzw,Rezz
3KsS9NkC5ZlPAIWpGoL5Sx,Crust,65,133520,false,6,track,2021-04-30,Yasuke,26,29XOeO6KIWxGthejQqn793,Flying Lotus
655sojH8GGEteZTBJOFyy7,Taste of You,63,167606,false,1,track,2021-05-21,Taste of You,1,4aKdmOXdUKX07HVd3sGgzw,Rezz
4Juaa2ppIOYcSWbrVtcrNp,Real Love,67,135265,false,2,track,2021-10-05,Happy Machine,8,5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis
1tiYiTDSrtOTVVg0cym5S1,Flashbacks (Slowed),69,402952,false,1,track,2021-06-09,Flashbacks (Slowed),1,70uBplYS9d9GUfEKVusJw6,CRASPORE
4Vd53EHIw4lEfe7rqHSctN,Hyperlandia - Vocal Mix,63,349591,false,1,track,2021-10-29,Hyperlandia,2,2CIMQHirSU0MQqyYHq0eOx,deadmau5
3MOhipHFUkGpS0rV7cKrJO,Rosewood,66,242773,false,1,track,2021-10-06,Rosewood,1,0cmWgDlu9CwTgxPhf403hb,Bonobo
2lxoIZS8tpFwbiJyrDYguI,Miss You,59,200000,false,1,track,2021-09-03,Miss You,1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER
5YrzUzJvEV2nsZ9d2q9s8G,Let Me In,61,208192,false,1,track,2021-10-01,Let Me In,1,4aKdmOXdUKX07HVd3sGgzw,Rezz
5x4vgABKiGp4Vg7ZyFRxhn,Run It (feat. Rick Ross & Rich Brian),62,163373,false,14,track,2021-09-03,Shang-Chi and The Legend of The Ten Rings: The Album,18,540vIaP2JwjQb9dm3aArA4,DJ Snake
3XoflnowYPFRPOh3uFvHcm,Selfish Love (with Selena Gomez),70,168648,false,1,track,2021-03-04,Selfish Love (with Selena Gomez),1,540vIaP2JwjQb9dm3aArA4,DJ Snake
356bcy3BLWuyUwOi56pb87,Love Is Gone - R3HAB Remix,61,150545,false,1,track,2021-08-27,Love Is Gone (R3HAB Remix),1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER
3zbbRebB1rzlXJgq7Ufn8V,Worst Case,62,178048,false,1,track,2021-10-08,Worst Case,1,4YLQaW1UU3mrVetC8gNkg5,3LAU
07ImPoPqKNwqucuPEZooBj,Anywhere (feat. shYbeast, PLYA),59,287600,false,1,track,2021-02-05,Anywhere (feat. shYbeast, PLYA),1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER
45CwQAnBujkKzbDKX5wJmv,Colorblind (feat. Dayseeker),58,199285,false,1,track,2021-08-13,Colorblind (feat. Dayseeker),1,5CdJjUi9f0cVgo9nFuJrFa,Adventure Club
7rRYiBxeudiHMNmgptnne9,Tides,63,226146,false,1,track,2021-10-20,Tides,2,0cmWgDlu9CwTgxPhf403hb,Bonobo
6SbtcZqGyS68wKp0YGyHgl,Hyperlandia - Radio Edit,59,212142,false,2,track,2021-10-29,Hyperlandia,2,2CIMQHirSU0MQqyYHq0eOx,deadmau5
6tkHWTety7Wd4Fv4oyGAcz,i think you're cool,56,213623,false,7,track,2021-03-26,Catching Z's,13,67qogtRNI0GjUr8PlaG6Zh,Zeds Dead
12yj178KaJo8PrddT0StaL,What's Up,68,147540,false,1,track,2021-02-12,What's Up,1,1aQwKFn00nswXRDUDipm0K,Gaullin
5qCpcgqwL1Hum85sAQz3W7,Gravity,57,364800,false,1,track,2021-08-13,Gravity,1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER
7oJPmo2YL566okOf1RQcCp,luv(drunk),60,181000,false,1,track,2021-01-08,luv(drunk),1,1BAdSa5cdtCNLbvT7gWmtJ,Conro
5T4iqvsqEdJS4WFMmo0CZX,Salvation,55,249863,false,1,track,2021-06-18,Salvation,1,5FKchcZpQOkqFvXBj1aCvb,Excision
0Q8I9WVpuNEFPiF83ZpcvU,Happy Hour,59,168000,false,1,track,2021-02-05,Happy Hour,1,6roDXEmZ6AARdOUv6x5U2v,Felix Cartal
1KzGwlHu27TUfH3gF1RFAa,Reaper (feat. JID),58,164800,true,1,track,2021-05-07,Reaper (feat. JID),3,4m1yRHUMhvB8gKAJTjK4kO,Boombox Cartel
7K5tOFxje8nlunmexOmWgo,SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK),71,225600,false,1,track,2021-10-22,SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK),1,540vIaP2JwjQb9dm3aArA4,DJ Snake
5LuQvkBG365ue36BMujtSz,Starbright,57,243027,false,5,track,2021-10-15,Between Broken,13,7lZauDnRoAC3kmaYae2opv,Dabin
5zHRrkIk98Adfqh25kMZFU,Love Me Better (with Shift K3Y & Marc E. Bassy),61,150771,false,1,track,2021-06-25,Love Me Better,1,5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis
1AAYbsAIgEJMbxgLgpjE9y,Since I Left You,59,262840,false,1,track,2021-06-04,Since I Left You (20th Anniversary Deluxe Edition),33,3C8RpaI3Go0yFF9whvKoED,The Avalanches
2WidoejAximc21Pv69Q3ey,Shell Shock (feat. Georgia Ku),56,264500,false,1,track,2021-10-29,Shell Shock (feat. Georgia Ku),1,76M2Ekj8bG8W7X2nbx2CpF,NGHTMRE
4Dku5HwdwweHyc9LrOL4AB,Bang Bang Bang Bang - Remastered 2021,62,168339,false,1,track,2021-02-19,Bang Bang Bang Bang 2021,2,1KNXft7nnRQj82sENi7WGN,Sohodolls
0Uhbn8GeomTRkkVAapjM4Z,Birdz (with Smokepurpp),58,162375,true,1,track,2021-01-21,Birdz (with Smokepurpp),1,6Se1y4vDcu9fVHLqdj1N3q,Wuki
6jRwkbiqOfkNGty2fGTXzd,Cold Light,63,179060,false,1,track,2021-02-19,Cold Light,2,0bUZrFj7rstq07E4iAJHgZ,KC Lights
4NczzeHBQPPDO0B9AAmB8d,Assumptions,56,220838,false,4,track,2021-05-13,IV,4,07UJz804RJxqNvxFXC3h9H,Sam Gellaitry
6hJrZxgi6Cld2vIs3zgqRr,Fatal Attraction (feat. Reese LAFLARE),58,270000,true,5,track,2021-05-21,Cartel II,7,4m1yRHUMhvB8gKAJTjK4kO,Boombox Cartel
3Co9QY7WBNKoS44Nsk93r6,DOMINATION,56,168800,true,1,track,2021-04-16,DOMINATION,1,72iCiKwu6nu6Qq9emIwzYv,Kayzo
0SyxZC4wlqAwf20cHE6Xon,Bulletproof,71,162213,false,1,track,2021-05-21,Bulletproof,1,3K2zB87GZv1krx031en5VA,La Roux
5pUO56AVaHEO685BLIBsVt,Unbound,53,227167,false,1,track,2021-01-25,Unbound,2,5FKchcZpQOkqFvXBj1aCvb,Excision
0I5pVidtNjNXeaqHnwhrva,Can't Come To The Phone,65,175305,false,1,track,2021-08-06,Can't Come To The Phone,1,4ehtJnVumNf6xzSCDk8aLB,Martin Jensen
4JlbNN3jRVy0agVxF2K5DA,Do It Anyway (with Icona Pop),65,158916,true,3,track,2021-10-22,SLEEP,15,5X4LWwbUFNzPkEas04uU82,DVBBS
1jfd5UYYNB8LEYGtHkP1tM,Make It Good,58,159344,false,1,track,2021-10-08,Make It Good,1,5ttgIeUVka6FLyi00Uu5h8,Jauz
5GQpKsz2Gn2PwbPIwHlRqv,you’ve changed, i’ve changed,56,311625,false,1,track,2021-05-21,you’ve changed, i’ve changed,6,0jNDKefhfSbLR9sFvcPLHo,San Holo
7KTcpv7wPJ4r6lR5SLzurh,Reaching Out,56,134584,false,1,track,2021-08-20,Reaching Out,1,5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis
6bKr1OdjfJq2zv297uQlCq,When I'm With You (feat. neverwaves),54,258000,false,1,track,2021-03-26,When I'm With You (feat. neverwaves),1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER
3b7glFrZPpSmYR4kYBb9Yw,Drive (feat. Tilian),53,199203,false,1,track,2021-10-29,Drive (feat. Tilian),1,5CdJjUi9f0cVgo9nFuJrFa,Adventure Club
0KbMjhlUH1xUGDgeIQzLsn,Duo,54,126700,false,1,track,2021-04-15,Duo,1,07UJz804RJxqNvxFXC3h9H,Sam Gellaitry
3R1z4moLnv7ZSFtOSWPeF9,Say It (feat. GASHI),61,192755,false,1,track,2021-10-08,Say It (feat. GASHI),1,5X4LWwbUFNzPkEas04uU82,DVBBS
5gopgUCFUOnS60WqZRvDX4,Suffer (feat. Elle Vee),52,363428,false,1,track,2021-10-01,Suffer (feat. Elle Vee),1,20DZAfCuP1TKZl5KcY7z3Q,SLANDER
6VkomiRtWhCiFs4nzrzNUc,Save Me,56,127900,false,1,track,2021-08-06,Save Me,1,7yPPzu5UdAK7yagQqjEZQm,Party Favor
0VFX93tpAqC0RitlvA1KQ9,Hyperlandia - Lamorn Remix,51,230263,false,1,track,2021-11-05,Hyperlandia (Lamorn Remix),1,2CIMQHirSU0MQqyYHq0eOx,deadmau5
01ft7EehsvcgF5sjwG7LrH,Over My Head,52,238401,true,1,track,2021-02-26,Over My Head,1,2fNr4ldujwq97v1jWeqs8K,Kai Wachi
3A7UMdZC6nGbOUOF8mFVfK,Love Me Better (with Shift K3Y & Jonasu, feat. Marc E. Bassy) - Jonasu Remix,53,165326,false,1,track,2021-10-29,Love Me Better (Jonasu Remix),1,5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis
69uPNh3b6VKdMZMbIKYQ1l,By Your Side,56,367362,false,1,track,2021-02-23,By Your Side,2,7wXTWO45lqpUejDkike0Gf,Sofia Kourtesis
4sIb34wgeE5G0XXGTrpERP,Bunker Buster,52,233646,true,1,track,2021-04-07,Bunker Buster,1,5FKchcZpQOkqFvXBj1aCvb,Excision
1CNLGKbPPRdmGOgEuCioOR,Survivors,57,77133,false,23,track,2021-04-30,Yasuke,26,29XOeO6KIWxGthejQqn793,Flying Lotus
2GxBmvhUHMz9nwEcBzpFBK,Lifeline,53,246400,false,1,track,2021-01-29,Lifeline,1,72iCiKwu6nu6Qq9emIwzYv,Kayzo
4q4ZdkzoQcsEOKlRW73PEJ,When The Summer Dies - French Original Remix,56,276507,true,1,track,2021-10-08,When The Summer Dies (French Original Remix),1,2CIMQHirSU0MQqyYHq0eOx,deadmau5
2cGnOx17iac6m7R5YDUZac,Everything,57,199000,false,1,track,2021-01-22,Everything,1,4YLQaW1UU3mrVetC8gNkg5,3LAU
0dAfw35k2hBsnbSl74AVJF,dashstar*,54,198095,false,1,track,2021-02-05,dashstar*,1,6mmSS7itNWKbapgG2eZbIg,Knock2
7dWef6DMTYxClvMzObXrE3,Valhalla,55,197760,false,1,track,2021-05-17,Valhalla,1,41rVuRHYAiH7ltBTHVR9We,Slushii
4uklTQyZiktk2DExXMRHZk,Losing My Mind (with Elohim),54,206141,false,1,track,2021-09-17,Losing My Mind (with Elohim),1,7yPPzu5UdAK7yagQqjEZQm,Party Favor
7bg3UimnS4beLnE476hfEE,20:25,54,231616,false,3,track,2021-01-21,.wav,16,7muzHifhMdnfN1xncRLOqk,Flux Pavilion
753DZsGGXlasRCp48FmOhH,Bellz,55,160000,false,1,track,2021-01-29,V!BEZ, Vol. 4,7,0tvpihdAsKiNnP6sWS3jUI,TroyBoi
