id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),79,146933,true,1,track,2021-10-14,Faking Love (feat. Saweetie),1,7FNnA9vBm6EKceENgCGRMb,Anitta
30IkQDaTwjcystPDLNj7xs,Sweat - Remix,0,195986,false,27,track,2021-11-08,Intimate Songs,30,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
0UW2IKq84Gn29QkjbT3WNc,Murder Music (feat. Benny The Butcher, Jadakiss, Busta Rhymes),60,244422,true,1,track,2021-11-05,Murder Music,1,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
3XM6V7K5nbZf5AQz20fDDb,Dad Vibes,68,132206,false,1,track,2021-09-30,Dad Vibes,1,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
06nmwVr0Ev16QnVXsQXSf1,Out Of Style,69,202862,true,1,track,2021-10-31,STILL SUCKS,12,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
2Wq0XjzmhdOcuXiZ16Xzsi,Som do Coração,0,198880,false,5,track,2021-10-29,Somos Pop,26,7FNnA9vBm6EKceENgCGRMb,Anitta
0S6rmCEGfJhAf2vL6FE5pD,Dirty Rotten Bizkit,67,181290,true,2,track,2021-10-31,STILL SUCKS,12,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
2ppAkaBj4vaL0qsFm1TOKI,Dad Vibes,66,132206,false,3,track,2021-10-31,STILL SUCKS,12,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
2V2328GRCFUBVjdlJIyVyh,Murder Music (feat. Benny The Butcher, Jadakiss, Busta Rhymes),35,243986,false,1,track,2021-11-05,Murder Music,1,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
6eCmK3GQyFuTNWCJHsaF9d,Drive (feat. Wes Nelson),79,179374,false,1,track,2021-07-30,Drive (feat. Wes Nelson),1,6MDME20pz9RveH9rEXvrOM,Clean Bandit
