id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
0tlJgLE8ddOq2L2k6YBc2y,Believe For It (feat. Lauren Daigle),58,338194,false,1,track,2021-09-10,Believe For It (feat. Lauren Daigle),1,3qfrrrSO7utFdJkM2tvMRb,CeCe Winans
2kSt5gqwUhufhV3mDP38JK,Believe For It - Live,54,502333,false,3,track,2021-03-12,Believe For It,15,3qfrrrSO7utFdJkM2tvMRb,CeCe Winans
48NBwJuiWaieFw8R5W3odZ,Wonder (feat. Le'Andria Johnson),55,243040,false,4,track,2021-08-20,Oil + Water,10,22JNV0JWTJkY1qzKJhxdRe,Travis Greene
0drumuKkSeMz3CH5kGfOEl,High Up,54,180986,false,1,track,2021-09-10,High Up,1,7KcmdvVaaO7Y0pmHQjOEFo,Jonathan Traylor
0YnO0NlWKxEKHeOhfKARQx,My Portion,53,250987,false,1,track,2021-09-03,My Portion,1,5ynRYAGjyPDE8unsFqi6MH,Jekalyn Carr
6YkYoeZXZUK5SP8EReOOQI,The Table,53,260021,false,1,track,2021-08-27,The Table,1,7KcmdvVaaO7Y0pmHQjOEFo,Jonathan Traylor
0fukHGuIvc2NQEFCkI2owi,Believe For It,49,228600,false,15,track,2021-03-12,Believe For It,15,3qfrrrSO7utFdJkM2tvMRb,CeCe Winans
0tpIBH9ycxYugBonIfWu1b,How Great (Single Mix),48,221280,false,1,track,2021-04-30,The Worship EP,6,03qM4LmPCrR7CuHTE0WAIW,Koryn Hawthorne
6f249Hnx4ZO5Ioug2uS4r9,Night Singing,53,131248,false,8,track,2021-03-26,Under the Pepper Tree,15,1FDE7zZ6jmP8HHb9ej3mek,Sara Watkins
3kdBJj2IH9h4urhoAlWWiZ,Broken People,50,558920,false,7,track,2021-10-22,Project LA: Alive in Los Angeles,18,77HU1Zb1VDIFvWKteJii0E,Israel & New Breed
31I8gxix4Go4Mui0WsWuku,Never Lost,45,250733,false,14,track,2021-03-12,Believe For It,15,3qfrrrSO7utFdJkM2tvMRb,CeCe Winans
3MKu1rrJQAieDImUI34gls,Hold on Me (feat. Kirk Franklin & John P. Kee),48,210373,false,1,track,2021-06-25,Hold on Me (feat. Kirk Franklin & John P. Kee),1,22JNV0JWTJkY1qzKJhxdRe,Travis Greene
5tfxw0QXyytTKAUAtxVG57,Jump Ship - Live,47,230382,false,6,track,2021-09-24,Jonny x Mali: Live in LA (Stereo),6,5ItTHwcEtFh6DEOBheMub9,Jonathan McReynolds
6vXOAkNQQ1KLmnC7vGYA0c,Goodness of God - Live,45,297693,false,12,track,2021-03-12,Believe For It,15,3qfrrrSO7utFdJkM2tvMRb,CeCe Winans
4v4NiTCwgjwJixy0doOsCP,Goodness of God,50,312511,false,6,track,2021-04-02,Feels Like Home, Vol. 2,13,77HU1Zb1VDIFvWKteJii0E,Israel & New Breed
6XQnntAqVSQkcaBQP7HIJO,Gotta Believe,48,170843,false,1,track,2021-06-18,Gotta Believe,1,5YxebzzreNswbtYC1td4cx,Tasha Cobbs Leonard
2HmnmQQtDH2j9nrHIC4Lhy,Just as I Am,46,209019,false,1,track,2021-06-18,Just as I Am,5,61SFRZAmfyJhcffwR2Ijuq,Jason Crabb
42ilVo7uiw5VjsgmJ58O1c,Adulting - Live,45,202838,false,1,track,2021-09-17,Adulting (Live),1,5ItTHwcEtFh6DEOBheMub9,Jonathan McReynolds
