id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
7hU3IHwjX150XLoTVmjD0q,MONEY,92,168227,false,2,track,2021-09-10,LALISA,2,5L1lO4eRHmJ7a0Q6csE5cT,LISA
6Vl6FXKrXRgqx8jdTXjEU2,Gangnam Style,16,219493,false,75,track,2021-10-15,New Years Eve 2021,123,2dd5mrQZvg6SmahdgVKDzh,PSY
2bgTY4UwhfBYhGT4HUYStN,Butter,90,164441,false,1,track,2021-06-04,Butter (Hotter, Sweeter, Cooler),5,3Nrfpe0tUJi4K4DXYWgMUX,BTS
1XyzcGhmO7iUamSS94XfqY,The Feels,87,198053,false,1,track,2021-10-01,The Feels,6,7n2Ycct7Beij7Dj7meI4X0,TWICE
7uQZVznj0uQOGC9KhV2Mg6,LALISA,83,200689,false,1,track,2021-09-10,LALISA,2,5L1lO4eRHmJ7a0Q6csE5cT,LISA
6M47gaKejso9772SKTa3yH,Face Off,80,219802,true,6,track,2021-10-08,ASIN9NE,17,6UBA15slIuadJ8h2lPRPos,Tech N9ne
0LThjFY2iTtNdd4wviwVV2,Permission to Dance,86,187585,false,2,track,2021-07-09,Butter / Permission to Dance,4,3Nrfpe0tUJi4K4DXYWgMUX,BTS
3JR0ducCexKbeK47g6AHm5,Butter (feat. Megan Thee Stallion),83,164457,false,1,track,2021-08-27,Butter (feat. Megan Thee Stallion),1,3Nrfpe0tUJi4K4DXYWgMUX,BTS
2bZIDMpzVooosmPHn0tHnd,STEREOTYPE,79,191695,false,1,track,2021-09-06,STEREOTYPE,4,01XYiBYaoMJcNhPokrg0l0,STAYC
5b8FtevTVz8xVF6E208xeV,LOCO,84,191462,false,1,track,2021-09-24,Crazy in Love,16,2KC9Qb60EaY0kW4eH68vr3,ITZY
3dbLT62Cvs46Ju7a8gpr36,Savage,83,238143,false,2,track,2021-10-05,Savage - The 1st Mini Album,6,6YVMFz59CuY7ngCxTxjpxE,aespa
21aOLk12MksET8AsbU0SI6,LO$ER=LO♡ER,81,199919,false,1,track,2021-08-17,The Chaos Chapter: FIGHT OR ESCAPE,11,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER
6TBJkXHPhu3EsMk1bshwuI,ONLY,84,240906,false,10,track,2021-09-09,4 ONLY,10,7cVZApDoQZpS447nHTsNqu,LeeHi
5xrtzzzikpG3BLbo4q1Yul,LILAC,77,214253,false,1,track,2021-03-25,IU 5th Album 'LILAC',10,3HqSLMAZ3g3d5poNaI7GOU,IU
3ihf9gTcRUz7EvkFnoh5TW,Thunderous,81,183266,false,2,track,2021-08-23,NOEASY,14,2dIgFjalVxs4ThymZ67YCE,Stray Kids
44tTqUi3xi7E28QLzHVdUA,Anti-Romantic,78,215188,false,1,track,2021-05-31,The Chaos Chapter: FREEZE,8,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER
6LnEoRQKMcaFTR5UvaKuBy,Rock with you,79,180360,false,2,track,2021-10-22,SEVENTEEN 9th Mini Album 'Attacca',7,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN
0UzymivvUH5s8z4PeWZJaK,FEVER,81,172106,false,3,track,2021-04-26,BORDER : CARNIVAL,6,5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN
1Z8TPHiKeCUyClxV6WTTIf,0X1=LOVESONG (I Know I Love You) feat. Seori,79,202203,false,2,track,2021-05-31,The Chaos Chapter: FREEZE,8,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER
0BTaaKT4RMbs5M73tOHX5Y,Alcohol-Free,78,210573,false,1,track,2021-06-11,Taste of Love,6,7n2Ycct7Beij7Dj7meI4X0,TWICE
1zoyteFQmeUUqyOl2Xznpy,Tamed-Dashed,79,196170,false,2,track,2021-10-12,DIMENSION : DILEMMA,8,5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN
2zrhoHlFKxFTRF5aMyxMoQ,Next Level,79,221573,false,1,track,2021-05-17,Next Level,1,6YVMFz59CuY7ngCxTxjpxE,aespa
3zmrdOtnOogqLllz26WLZ3,Deja Vu,76,196670,false,3,track,2021-09-13,ZERO : FEVER Part.3,6,68KmkJeZGfwe1OUaivBa2L,ATEEZ
2R8MZR1RCP4cIJITHDPRbY,Favorite (Vampire),72,215586,false,1,track,2021-10-25,Favorite - The 3rd Album Repackage,14,7f4ignuCJhLXfZ9giKT7rH,NCT 127
1wcr8DjnN59Awev8nnKpQ4,Drunk-Dazed,78,193260,false,2,track,2021-04-26,BORDER : CARNIVAL,6,5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN
6SpPr7K4YQ2wp8jU6uOTmQ,Queendom,78,181760,false,1,track,2021-08-16,Queendom - The 6th Mini Album,6,1z4g3DjTBBZKhvAroFlhOM,Red Velvet
5BXr7hYZQOeRttkeWYTq5S,ASAP,74,194080,false,1,track,2021-04-08,STAYDOM,4,01XYiBYaoMJcNhPokrg0l0,STAYC
52CBUrIdyf8tbZaUY9iawE,After School,77,205373,false,3,track,2021-03-17,We play,5,73B9bjqS2Z5KLXNGqXf64m,Weeekly
5eXBXreN3d1zdj6Sa8dS0u,Permission to Dance,80,187585,false,1,track,2021-07-23,Permission to Dance,3,3Nrfpe0tUJi4K4DXYWgMUX,BTS
0dnkOK5hGUCmIJ7FDF0yHz,DUMB DUMB,73,149446,false,1,track,2021-08-02,DUMB DUMB,1,7zYj9S9SdIunYCfSm7vzAR,JEON SOMI
0Z99Xe1lGBmq60RwJ5YU18,PING PONG,77,158253,false,2,track,2021-09-09,1+1=1,4,6JTCN21ovvrR3iPViZTXz4,HyunA&DAWN
2pn8dNVSpYnAtlKFC8Q0DJ,On The Ground,73,168085,false,1,track,2021-03-12,R,2,3eVa5w3URK5duf6eyVDbu9,ROSÉ
1lhm29o3syw122xynSKaAK,Love Me Like That,80,211363,false,1,track,2021-07-24,Nevertheless, (Original Television Soundtrack, Pt. 6),2,4BBN286rBKyCWsSPq2cxYO,Sam Kim
2QdH0rKlV3d9Y6lWzcnlBH,In the morning,77,172358,false,1,track,2021-04-30,GUESS WHO,6,2KC9Qb60EaY0kW4eH68vr3,ITZY
3UHPGOkUcE4hE7sqBF4Snt,Film out,79,214620,false,1,track,2021-04-01,Film out,1,3Nrfpe0tUJi4K4DXYWgMUX,BTS
5JIzb3fBZkHccwxnArc5j6,DOMINO,75,198720,false,3,track,2021-08-23,NOEASY,14,2dIgFjalVxs4ThymZ67YCE,Stray Kids
2dHoVW9AxJVSRebPRyV2aA,Gone,72,207163,false,2,track,2021-03-12,R,2,3eVa5w3URK5duf6eyVDbu9,ROSÉ
2g0LdZQce9xlcHb1mBJyuz,strawberry moon,75,205333,false,1,track,2021-10-19,strawberry moon,1,3HqSLMAZ3g3d5poNaI7GOU,IU
2mUKh4aIxzXHHd0v9CSd8b,Red Lights (Bang Chan, Hyunjin),75,189906,false,10,track,2021-08-23,NOEASY,14,2dIgFjalVxs4ThymZ67YCE,Stray Kids
1iGQpclvzonFNzy7Ko89V7,Sticker,69,227773,false,1,track,2021-09-17,Sticker - The 3rd Album,11,7f4ignuCJhLXfZ9giKT7rH,NCT 127
3VwhJRJyoaGiEAAzR0WyhI,One Day,71,146096,false,1,track,2021-09-10,One Day,1,4TnGh5PKbSjpYqpIdlW5nz,Monsta X
4r34Yi0eltsu1tp6z4lq3x,XOXO,70,207650,false,2,track,2021-10-29,XOXO,8,7zYj9S9SdIunYCfSm7vzAR,JEON SOMI
6IqKFke4ZhKbGYULllEezY,Go Big or Go Home,75,201707,false,5,track,2021-10-12,DIMENSION : DILEMMA,8,5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN
5awNIWVrh2ISfvPd5IUZNh,PTT (Paint The Town),73,201120,false,2,track,2021-06-28,[&],7,52zMTJCKluDlFwMQWmccY7,LOONA
6cqH1q7g5GeRVQVMK1Vc7f,Weekend,72,233413,false,1,track,2021-07-06,Weekend,1,3qNVuliS40BLgXGxhdBdqu,TAEYEON
5au5BF6e1TgZFrdoAz9p6x,SWIPE,74,177893,false,2,track,2021-09-24,Crazy in Love,16,2KC9Qb60EaY0kW4eH68vr3,ITZY
4Wh5WGtov1VJ6EJ8OQgNeS,Magic,71,159749,false,3,track,2021-05-31,The Chaos Chapter: FREEZE,8,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER
285Bh5EkbxGGE76ge8JDbH,Lucid Dream,71,210560,false,6,track,2021-10-05,Savage - The 1st Mini Album,6,6YVMFz59CuY7ngCxTxjpxE,aespa
6B8MM3PVQtUbZLay7tP7er,Hot Sauce,74,195813,false,1,track,2021-05-10,Hot Sauce - The 1st Album,10,1gBUSTR3TyDdTVFIaQnc02,NCT DREAM
2FymmKBuog0loCuNXMwQID,Ready to love,72,186760,false,2,track,2021-06-18,SEVENTEEN 8th Mini Album 'Your Choice',6,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN
4Z4FusIyks3EQfscAFslWj,I Don't Know You Anymore,70,166323,false,1,track,2021-10-15,I Don't Know You Anymore,1,2FLqlgckDKdmpBrvLAT5BM,Eric Nam
4aS8OY1JsRSBKGfnAkIOZH,You can't sit with us,71,197413,false,1,track,2021-08-06,1/6,6,6MoXcK2GyGg7FIyxPU5yW6,SUNMI
3QdjLOemIcMZovVOnvJP7P,Just A Little Bit,73,167820,false,4,track,2021-10-12,DIMENSION : DILEMMA,8,5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN
6oSCR9n71tmwWL3GFb65Ec,Upper Side Dreamin’,72,189402,false,3,track,2021-10-12,DIMENSION : DILEMMA,8,5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN
5RvuQYqw1KZanRWDGAZrQd,CHEESE,72,182080,false,1,track,2021-08-23,NOEASY,14,2dIgFjalVxs4ThymZ67YCE,Stray Kids
4rOODw637hsmsq0uzT0DN3,Advice,69,191640,false,1,track,2021-05-18,Advice - The 3rd Mini Album,5,13rF01aOogvnkuQXOlgTW8,TAEMIN
68kHuoBxtNcWZWxBu1V007,Crush,71,169560,false,3,track,2021-10-22,SEVENTEEN 9th Mini Album 'Attacca',7,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN
2LvbYwfsRvGYnRytG573iW,Luigi (feat. Chief Keef),62,201363,true,1,track,2021-10-22,Luigi (feat. Chief Keef),1,4mkjpWbFO45SyaHiM9GOVE,2KBABY
6txVOdSbg928oeGhlVUrdK,Lemonade,66,190066,false,2,track,2021-09-17,Sticker - The 3rd Album,11,7f4ignuCJhLXfZ9giKT7rH,NCT 127
