id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,100,224694,false,1,track,2021-10-14,Easy On Me,1,4dpARuHxo51G3z768sgnrY,Adele
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),97,212000,true,1,track,2021-07-23,INDUSTRY BABY (feat. Jack Harlow),1,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),92,257604,true,7,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
4ZtFanR9U6ndgddUvNcjcG,good 4 u,95,178146,true,6,track,2021-05-21,SOUR,11,1McMsnEElThX1knmY4oliG,Olivia Rodrigo
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,93,210560,true,5,track,2021-06-25,Planet Her,14,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
6Uj1ctrBOjOas8xZXGqKk4,Woman,95,172626,true,1,track,2021-06-25,Planet Her,14,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
6PQ88X9TkUIAUIZJHW2upE,Bad Habits,96,231041,false,1,track,2021-06-25,Bad Habits,1,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,94,143901,true,4,track,2021-09-17,MONTERO,15,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
5CZ40GBx1sQ9agT82CLQCT,traitor,92,229226,false,2,track,2021-05-21,SOUR,11,1McMsnEElThX1knmY4oliG,Olivia Rodrigo
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),91,291175,true,6,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
75MNhvTCCKsST3YqqUiU9r,Shivers,94,207853,false,1,track,2021-09-13,Shivers,2,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),90,208866,true,1,track,2021-04-09,Kiss Me More (feat. SZA),1,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
