id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),91,242965,true,13,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),92,257604,true,7,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),91,291175,true,6,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),89,221979,true,3,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),86,252069,true,1,track,2021-08-27,family ties (with Kendrick Lamar),1,5SXuuuRpukkTvsLuUknva1,Baby Keem
4XvcHTUfIlWfyJTRG0aqlo,2055,87,123986,true,4,track,2021-06-02,Still Sleep?,14,6EPlBSH2RSiettczlz7ihV,Sleepy Hallow
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),84,192956,true,2,track,2021-03-05,Scary Hours 2,3,3TVXtAsR1Inumwj472S9r4,Drake
4yNoUQkYf1QF8iYlEzNynH,Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage),83,279853,true,1,track,2021-10-08,Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage),1,0Njy6yR9LykNKYg9yE23QN,Nardo Wick
0WSEq9Ko4kFPt8yo3ICd6T,Praise God,87,226652,false,6,track,2021-08-29,Donda,27,5K4W6rqBFWDnAN6FQUkS6x,Kanye West
4KDNRh9Oor80z3XIxdWlui,Bubbly (with Drake & Travis Scott),83,165066,true,12,track,2021-10-15,Punk,20,50co4Is1HCEo8bhOyUWKpn,Young Thug
6Hfu9sc7jvv6coyy2LlzBF,Hurricane,85,243187,false,5,track,2021-08-29,Donda,27,5K4W6rqBFWDnAN6FQUkS6x,Kanye West
7nc7mlSdWYeFom84zZ8Wr8,Tell Em,84,180379,true,1,track,2021-05-28,Tell Em,1,46HzS7yz0c9udVwtbHk1sx,Cochise
4eL3XeuGaEoVT8ttDh3hwY,Too Easy,82,138586,true,1,track,2021-09-24,Too Easy,1,2hlmm7s2ICUX0LVIhVFlZQ,Gunna
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),84,193506,true,1,track,2021-11-05,One Right Now,1,246dkjvS1zLTtiykXe5h60,Post Malone
3J4VKkUpLvomXJbn9ZAypO,Sharing Locations (feat. Lil Baby & Lil Durk),82,161052,true,1,track,2021-08-27,Sharing Locations (feat. Lil Baby & Lil Durk),1,20sxb77xiYeusSH8cVdatc,Meek Mill
2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,83,204346,true,12,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
4R67rQNSbbsR4TdUVOIdez,ESCAPE PLAN,84,149610,true,1,track,2021-11-05,ESCAPE PLAN / MAFIA,2,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,84,165925,true,1,track,2021-04-09,RAPSTAR,1,6AgTAQt8XS6jRWi4sX7w49,Polo G
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),88,140533,true,13,track,2021-03-26,El Dorado,13,6fWVd57NKTalqvmjRd2t8Z,24kGoldn
6cUHiQEECDl5m3WFGQ1GCR,Rich MF (feat. Polo G & Lil Durk),81,247714,true,17,track,2021-08-21,Trip At Knight (Complete Edition),18,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd
40uMIn2zJLAQhNXghRjBed,Motley Crew,84,184213,true,1,track,2021-07-09,Motley Crew,1,246dkjvS1zLTtiykXe5h60,Post Malone
5zNW5ARjYhJQJz1AChP33n,Thot Shit,83,184634,true,1,track,2021-06-11,Thot Shit,1,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion
2ZXxRC6V6AXzMdbLQZMHSB,LOT OF ME,80,123870,false,12,track,2021-08-27,We Love You Tecca 2,20,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca
7zjEyeBsaw9gV0jofJLfOM,Livin It Up (with Post Malone & A$AP Rocky),82,210906,true,8,track,2021-10-15,Punk,20,50co4Is1HCEo8bhOyUWKpn,Young Thug
2DTpP3caqX3QdJIEoS83mD,Your Heart,81,198620,true,1,track,2021-09-24,Your Heart,1,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas
2BITQ360Knh6qNAOqR7Dyq,Miss The Rage (feat. Playboi Carti),82,236883,true,1,track,2021-05-07,Miss The Rage (feat. Playboi Carti),1,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd
3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,83,205458,true,3,track,2021-04-02,Destined 2 Win,21,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay
08F16baYbciTva9P4BvpiI,MAFIA,81,240000,true,2,track,2021-11-05,ESCAPE PLAN / MAFIA,2,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
6LNoArVBBVZzUTUiAX2aKO,Off The Grid,81,339249,false,4,track,2021-08-29,Donda,27,5K4W6rqBFWDnAN6FQUkS6x,Kanye West
61S79KIVA4I9FXbnsylEHT,In The Bible (with Lil Durk & Giveon),82,296568,true,4,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
1EJIcDYXwSqipW5dFe4uJz,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),79,236524,true,2,track,2021-04-30,KHALED KHALED,14,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
4s7QLoImIwmPi9L6dq1nVW,TSU,81,308755,true,8,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
5MAnH0CFbD13INQBsnKI9y,Demon High,76,197417,false,1,track,2021-10-29,Demon High,1,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
1fxYz1s15pyZLsJT0Hdh1m,Late At Night,80,174682,true,1,track,2021-06-04,Late At Night,1,757aE44tKEUQEqRuT6GnEB,Roddy Ricch
5B0kgjHULYJhAQkK5XsMoC,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),80,121572,true,4,track,2021-06-25,CALL ME IF YOU GET LOST,16,4V8LLVI7PbaPR0K2TGSxFF,Tyler, The Creator
5svL1PkWw8hPEAOdTNLexy,Paralyzed,79,162805,false,1,track,2021-08-13,Paralyzed,1,4iDroUFo89Y7YBsdDTBmTD,Sueco
6pmNoWKk0r6zfIjWneJRxR,Lonely (with Lil Wayne),80,154432,true,1,track,2021-09-09,Lonely (with Lil Wayne),1,4r63FhuTkUYltbVAg5TQnk,DaBaby
25r6MZ4Gtd76l43qnZI1DG,Flocky Flocky (feat. Travis Scott),81,183513,true,4,track,2021-10-08,Life of a DON,16,4Gso3d4CscCijv0lmajZWs,Don Toliver
34D6FJysnQioVingDKufuf,N 2 Deep,80,273577,true,9,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,80,178623,true,2,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
21AJQhGZpujjZQXByZAXpr,REPEAT IT (with Gunna),79,190344,true,1,track,2021-08-06,REPEAT IT,1,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca
4eNOLmx8r2IJAVKvBBL1jv,Headshot (feat. Polo G & Fivio Foreign),79,144349,true,7,track,2021-04-02,Destined 2 Win,21,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay
25GyyK9CyZRiDCsPY51fIT,Not In The Mood (feat. Fivio Foreign & Kay Flock),80,150475,true,1,track,2021-10-22,Not In The Mood (feat. Fivio Foreign & Kay Flock),1,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay
0cu0rhnlCnJ7JIeHRiLpj3,Ball If I Want To,80,112546,true,1,track,2021-06-18,Ball If I Want To,1,4r63FhuTkUYltbVAg5TQnk,DaBaby
1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),80,218801,true,3,track,2021-05-14,The Off-Season,12,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
4VCbgIdr8ptegWeJpqLVHH,Love All (with JAY-Z),80,228461,true,5,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
0UTyLmkQgPOEIz95OVAJTR,range brothers (with Kendrick Lamar),78,316733,true,4,track,2021-09-10,The Melodic Blue,16,5SXuuuRpukkTvsLuUknva1,Baby Keem
53tv6ZbyeAwfAUwFaxYbfO,Hellcats & Trackhawks,76,146844,true,4,track,2021-03-05,Only The Family - Lil Durk Presents: Loyal Bros,23,3IaKn0ExWTMPqa0mscUYw3,Only The Family
7F9cT6hIRhnFCYP6GKS0tf,IMY2 (with Kid Cudi),79,252378,true,19,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
1MIGkQxcdAt2lDx6ySpsc5,SUVs (Black on Black),80,157675,true,1,track,2021-08-03,SUVs (Black on Black),1,2LIk90788K0zvyj2JJVwkJ,Jack Harlow
4TIqzdAssasqx3DAe6cG9J,Ramen & OJ,79,218447,true,1,track,2021-04-30,Ramen & OJ,1,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas
7v4pPS4A7NgY7bxFA3Etv3,HOT DEMON B!TCHES NEAR U ! ! !,80,96000,true,1,track,2021-09-03,HOT DEMON B!TCHES NEAR U ! ! !,1,7yntSJ6uojO3z6GFUVwhAW,CORPSE
11pEKMLmavDu8fxOB5QjbQ,Pipe Down,79,205721,true,10,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
