id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
3ZozFqJJlDBNIm4xqxn2ZD,Fancy Like,83,161853,false,2,track,2021-06-04,Country Stuff,6,7sKxqpSqbIzphAKAhrqvlf,Walker Hayes
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),85,227395,false,1,track,2021-06-11,JORDI (Deluxe),14,04gDigrS5kc9YWfZHwBETP,Maroon 5
5W8HXMOMLtXLz0RGKUtnlZ,Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage,84,257368,true,1,track,2021-09-30,Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage],1,4utLUGcTvOJFr6aqIJtYWV,Skylar Grey
4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,90,173346,true,4,track,2021-03-19,Teatro d'ira - Vol. I,8,0lAWpj5szCSwM4rUMHYmrr,Måneskin
7DhvNzyMM8jJWcfykG3psB,Thinking 'Bout You (feat. MacKenzie Porter),77,170560,false,1,track,2021-03-19,Thinking 'Bout You (feat. MacKenzie Porter),1,1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,83,173381,false,1,track,2021-10-28,Enemy (with JID) [from the series Arcane League of Legends],1,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
5YqdiryRmdAzYFlxo43hAJ,Missing Piece,78,217408,false,1,track,2021-05-19,Missing Piece,1,10exVja0key0uqUkk6LJRT,Vance Joy
0QULNNd9z5s35entfiiXoa,Drunk (And I Don't Wanna Go Home),73,245625,false,1,track,2021-02-26,Drunk (And I Don't Wanna Go Home),1,3bhu7P5PfngueRHiB9hjcx,Elle King
4iya38ctQ1httyA6NOG9oW,Light My Love,72,270887,false,8,track,2021-04-16,The Battle at Garden’s Gate,12,4NpFxQe2UvRCAjto3JqlSl,Greta Van Fleet
4Qum1kECNQrpREev5fvAQ4,Truth About You,72,203036,false,1,track,2021-07-09,Truth About You,1,1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny
0zlaa4AmbFE7MVDijsyD9Q,Heat Above,71,341255,false,1,track,2021-04-16,The Battle at Garden’s Gate,12,4NpFxQe2UvRCAjto3JqlSl,Greta Van Fleet
2UbVnbE5FH6008mAm6Mmgw,Run,83,169010,false,1,track,2021-05-05,Run,1,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
4T6FWA703h6H7zk1FoSARw,New Light,78,217426,false,3,track,2021-07-16,Sob Rock,10,0hEurMDQu99nJRq8pTxO14,John Mayer
50fXFVykkwS6Om9eqjTK44,Take My Name,72,157906,false,2,track,2021-07-09,Songs from 'For You',3,4TshyQDihSYXSWqvclXl3I,Parmalee
6aDsgHPZsMztSbZernzlF8,Someday,80,187888,false,3,track,2021-08-27,Human (Deluxe),16,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
60dwJ8dnqZ4WrIdiu7LkNR,Saturday,74,172232,false,5,track,2021-05-21,Scaled And Icy,11,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
2VmccNZz4zFmlcXstY8a2D,Same Boat,71,190451,false,1,track,2021-06-11,Same Boat,1,6yJCxee7QumYr820xdIsjo,Zac Brown Band
3O5Eb6nlNKPJ8T0v7stUN8,Dancing In The Dark,0,233933,false,8,track,2021-11-10,Up To The Moon,25,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
78SCmQ8A7KQSMdkem2SwBP,MAMMAMIA,84,186809,true,1,track,2021-10-08,MAMMAMIA,1,0lAWpj5szCSwM4rUMHYmrr,Måneskin
2nG54Y4a3sH9YpfxMolOyi,Shy Away,75,175044,false,3,track,2021-05-21,Scaled And Icy,11,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
