id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
1g4ZLRUaRV3keRPIhnaPgt,Ser Humano Ou Anjo - Live,0,171933,false,19,track,2021-11-02,Viral Sertanejo As Mais Conhecidas,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
6BF9RgO5t9vEUSQls5WYgi,Ser Humano Ou Anjo - Live,0,171933,false,17,track,2021-11-04,Sertanejo Para Dançar Até Cansar,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
4DYW9iaEnUNpFSgKwIOqpS,Expectativa x Realidade,2,163324,false,8,track,2021-11-02,Viral Sertanejo As Mais Conhecidas,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
199yaqDTq8YfAh0qdo3d8C,Nem Doeu - Ao Vivo,0,173503,false,5,track,2021-11-04,Sertanejo Para Dançar Até Cansar,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
2L2DEAugkdRFfkkcdJWyiO,É Problema,1,184149,false,5,track,2021-11-02,Viral Sertanejo As Mais Conhecidas,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
7yJVTQslDZF9NVTEwvfFmq,Vagabundo,1,165380,false,2,track,2021-11-04,Sertanejo Pra Pensar no Crush,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
5XiZIRYGfijch5NWCEmoxw,Então Toma - Ao Vivo,0,161502,false,3,track,2021-11-02,Viral Sertanejo As Mais Conhecidas,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
4aPRzb4X2sg4Ekr5EeloAx,Nem Doeu - Ao Vivo,0,173503,false,13,track,2021-11-02,Viral Sertanejo As Mais Conhecidas,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
2J7mkzXEdCidyHN3mWTfC8,Amor Sem Medida (Te Voy A Amar) - Live,1,180213,false,13,track,2021-10-29,Feriadão Sertanejo,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
2ZC0szFUkOjvBTstpFJnLE,É Problema,0,184149,false,10,track,2021-11-04,Sertanejo Pra Pensar no Crush,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
29W1URtSDMmSJyEYxeNfJV,Vagabundo,1,165380,false,2,track,2021-11-03,Forró Pra Pensar no Crush,19,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
0wrIguYt6RO24OqIZYxC9Q,Litrão - Ao Vivo Em Recife / 2020,0,170197,false,18,track,2021-11-04,Sertanejo Pra Pensar no Crush,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
5rCPdNWnjwKJatuFvm2psc,É Problema,0,184149,false,15,track,2021-11-04,Sertanejo Para Dançar Até Cansar,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
7lx8EAYHZqkNXfVXx252mN,É Problema,1,184149,false,4,track,2021-10-29,Feriadão Sertanejo,20,2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan
