id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,99,224694,false,1,track,2021-10-14,Easy On Me,1,4dpARuHxo51G3z768sgnrY,Adele
4S4ZY1yKo3WUtzsg3O6hcf,Years - 2021 Remaster,19,214158,false,12,track,2014,LIFE (2021 Remaster),15,0pWwt5vGNzezEhfAcc420Y,Mr.Kitty
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),98,212000,true,1,track,2021-07-23,INDUSTRY BABY (feat. Jack Harlow),1,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
3oyc1mIdCBGaU55wX7otqM,Pump It Up - 2021 Remaster,61,196680,false,4,track,1978-03-17,This Year's Model (2021 Remaster),14,4qmHkMxr6pTWh5Zo74odpH,Elvis Costello & The Attractions
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),92,242965,true,13,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
4cdcFyEEr2g74eM9m8XohF,Year 2021,0,104668,false,1,track,2021-03-02,Year 2021,1,4f88qkUphyOUhjuCRR3n53,Duck
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),100,141805,true,1,track,2021-07-09,STAY (with Justin Bieber),1,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
0UsmyJDsst2xhX1ZiFF3JW,Year,2015,25,74301,false,1,track,2020-09-16,軟弱,5,6kfcndVsu8F9Y5gL5xc717,Schoolgirl Byebye
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),93,257604,true,7,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
58gGEIyfUOKxYB30oyzBNg,Loneliest Time Of Year,0,202693,false,39,track,2021-10-28,Xmas 2021,47,1MIVXf74SZHmTIp4V4paH4,Mabel
4ZtFanR9U6ndgddUvNcjcG,good 4 u,96,178146,true,6,track,2021-05-21,SOUR,11,1McMsnEElThX1knmY4oliG,Olivia Rodrigo
65hIZYAYu3fxltrGK6frIn,Year 2021,0,147216,false,1,track,2021-03-16,Year 2021,1,18cwPwYirwKuV1s52HTWif,Craze_Returned
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),92,291175,true,6,track,2021-09-03,Certified Lover Boy,21,3TVXtAsR1Inumwj472S9r4,Drake
5rJw9VsPNdfnV9Ar97xZG2,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),33,182287,false,1,track,2015-03-31,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),1,7kwEvDE8e7EBGKh5bLczqQ,Anthem Lights
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,94,210560,true,5,track,2021-06-25,Planet Her,14,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
74YHlbAN3PqLGWkDLFYwAU,Loneliest Time Of Year,0,202693,false,7,track,2021-10-28,Cozy Holidays 2021,23,1MIVXf74SZHmTIp4V4paH4,Mabel
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,95,143901,true,4,track,2021-09-17,MONTERO,15,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
1tSKyM7Sl77WBCp0Ha9mUi,YEAR 2021,0,287691,false,1,track,2021-01-01,YEAR 2021,1,3JzEf6R0RzMTK11uItTw6l,Arnold Onea
